"","contest","candidate_count","year","contested","choice","party","district"
"51","NC STATE SENATE DISTRICT 33",1,2010,"No","Stan Bingham","REP","33"
"52","NC STATE SENATE DISTRICT 34",1,2010,"No","Andrew C. Brock","REP","34"
"53","NC STATE SENATE DISTRICT 35",2,2010,"Yes","Tommy Tucker","REP","35"
"54","NC STATE SENATE DISTRICT 35",2,2010,"Yes","Ed McGuire","DEM","35"
"55","NC STATE SENATE DISTRICT 36",2,2010,"Yes","Mike Helms","DEM","36"
"56","NC STATE SENATE DISTRICT 36",2,2010,"Yes","Fletcher L. Hartsell, Jr.","REP","36"
"57","NC STATE SENATE DISTRICT 37",2,2010,"Yes","Daniel (Dan) Clodfelter","DEM","37"
"58","NC STATE SENATE DISTRICT 37",2,2010,"Yes","C. Morgan Edwards","REP","37"
"59","NC STATE SENATE DISTRICT 38",2,2010,"Yes","Cedric Scott","REP","38"
"60","NC STATE SENATE DISTRICT 38",2,2010,"Yes","Charlie Dannelly","DEM","38"
"61","NC STATE SENATE DISTRICT 39",1,2010,"No","Robert (Bob) Rucho","REP","39"
"62","NC STATE SENATE DISTRICT 4",2,2010,"Yes","Rich Halbert","REP","4"
"63","NC STATE SENATE DISTRICT 4",2,2010,"Yes","Edward (Ed) Jones","DEM","4"
"64","NC STATE SENATE DISTRICT 40",2,2010,"Yes","John Aneralla","REP","40"
"65","NC STATE SENATE DISTRICT 40",2,2010,"Yes","Malcolm Graham","DEM","40"
"66","NC STATE SENATE DISTRICT 41",1,2010,"No","James (Jim) Forrester","REP","41"
"67","NC STATE SENATE DISTRICT 42",1,2010,"No","Austin Allran","REP","42"
"68","NC STATE SENATE DISTRICT 43",2,2010,"Yes","Kathy Harrington","REP","43"
"69","NC STATE SENATE DISTRICT 43",2,2010,"Yes","Jim Long","DEM","43"
"70","NC STATE SENATE DISTRICT 44",3,2010,"Yes","Warren T. Daniel","REP","44"
"71","NC STATE SENATE DISTRICT 44",3,2010,"Yes","Beth Jones","DEM","44"
"72","NC STATE SENATE DISTRICT 44",3,2010,"Yes","Richard C. Evey","LIB","44"
"73","NC STATE SENATE DISTRICT 45",2,2010,"Yes","Dan Soucek","REP","45"
"74","NC STATE SENATE DISTRICT 45",2,2010,"Yes","Steve Goss","DEM","45"
"75","NC STATE SENATE DISTRICT 46",1,2010,"No","Debbie Ann Clary","REP","46"
"76","NC STATE SENATE DISTRICT 47",2,2010,"Yes","Ralph E. Hise, Jr.","REP","47"
"77","NC STATE SENATE DISTRICT 47",2,2010,"Yes","Joe Sam Queen","DEM","47"
"78","NC STATE SENATE DISTRICT 48",2,2010,"Yes","Tom Apodaca","REP","48"
"79","NC STATE SENATE DISTRICT 48",2,2010,"Yes","Chris Dixon","DEM","48"
"80","NC STATE SENATE DISTRICT 49",2,2010,"Yes","Martin L. Nesbitt","DEM","49"
"81","NC STATE SENATE DISTRICT 49",2,2010,"Yes","R L Clark","REP","49"
"82","NC STATE SENATE DISTRICT 5",2,2010,"Yes","Louis M. Pate, Jr.","REP","5"
"83","NC STATE SENATE DISTRICT 5",2,2010,"Yes","Don Davis","DEM","5"
"84","NC STATE SENATE DISTRICT 50",2,2010,"Yes","Jim Davis","REP","50"
"85","NC STATE SENATE DISTRICT 50",2,2010,"Yes","John J. Snow, Jr.","DEM","50"
"86","NC STATE SENATE DISTRICT 6",1,2010,"No","Harry Brown","REP","6"
"87","NC STATE SENATE DISTRICT 7",2,2010,"Yes","Doug Berger","DEM","7"
"88","NC STATE SENATE DISTRICT 7",2,2010,"Yes","Michael Schriver","REP","7"
"89","NC STATE SENATE DISTRICT 8",2,2010,"Yes","Bill Rabon","REP","8"
"90","NC STATE SENATE DISTRICT 8",2,2010,"Yes","David Redwine","DEM","8"
"91","NC STATE SENATE DISTRICT 9",2,2010,"Yes","Thom Goolsby","REP","9"
"92","NC STATE SENATE DISTRICT 9",2,2010,"Yes","Jim Leutze","DEM","9"
