"","contest","candidate_count","year","contested","choice","party","district"
"79","NC SENATE  (4)",2,2002,"Yes","Robert L. Holloman","DEM","4"
"80","NC SENATE  (40)",3,2002,"Yes","Steven Wright","LIB","40"
"81","NC SENATE  (40)",3,2002,"Yes","T. L. (Fountain) Odom","DEM","40"
"82","NC SENATE  (40)",3,2002,"Yes","Robert Pittenger","REP","40"
"83","NC SENATE  (41)",2,2002,"Yes","Victor Crosby","DEM","41"
"84","NC SENATE  (41)",2,2002,"Yes","R. B. Sloan, Jr.","REP","41"
"85","NC SENATE  (42)",1,2002,"No","James (Jim) Forrester","REP","42"
"86","NC SENATE  (43)",2,2002,"Yes","Michael Harrington","REP","43"
"87","NC SENATE  (43)",2,2002,"Yes","David W. Hoyle","DEM","43"
"88","NC SENATE  (44)",1,2002,"No","Austin Allran","REP","44"
"89","NC SENATE  (45)",3,2002,"Yes","Fran Grig","LIB","45"
"90","NC SENATE  (45)",3,2002,"Yes","Virginia Foxx","REP","45"
"91","NC SENATE  (45)",3,2002,"Yes","Mollie Marlene C. Laws","DEM","45"
"92","NC SENATE  (46)",3,2002,"Yes","John Weatherly","REP","46"
"93","NC SENATE  (46)",3,2002,"Yes","Tony Brown","LIB","46"
"94","NC SENATE  (46)",3,2002,"Yes","Walter H. Dalton","DEM","46"
"95","NC SENATE  (47)",3,2002,"Yes","Gregg Thompson","REP","47"
"96","NC SENATE  (47)",3,2002,"Yes","Joe Sam Queen","DEM","47"
"97","NC SENATE  (47)",3,2002,"Yes","Sherry Hill","LIB","47"
"98","NC SENATE  (48)",2,2002,"Yes","Robert Cogburn Burris","DEM","48"
"99","NC SENATE  (48)",2,2002,"Yes","Tom Apodaca","REP","48"
"100","NC SENATE  (49)",2,2002,"Yes","Steve Metcalf","DEM","49"
"101","NC SENATE  (49)",2,2002,"Yes","R. L. Clark","REP","49"
"102","NC SENATE  (5)",3,2002,"Yes","Tom Coulson","REP","5"
"103","NC SENATE  (5)",3,2002,"Yes","Christopher Ruff","LIB","5"
"104","NC SENATE  (5)",3,2002,"Yes","Tony P. Moore","DEM","5"
"105","NC SENATE  (50)",2,2002,"Yes","Robert C. (Bob) Carpenter","REP","50"
"106","NC SENATE  (50)",2,2002,"Yes","Dan Robinson","DEM","50"
"107","NC SENATE  (6)",2,2002,"Yes","Tommy Pollard, Jr.","REP","6"
"108","NC SENATE  (6)",2,2002,"Yes","Cecil Hargett","DEM","6"
"109","NC SENATE  (7)",2,2002,"Yes","John Kerr","DEM","7"
"110","NC SENATE  (7)",2,2002,"Yes","Carolyn B. Russell","REP","7"
"111","NC SENATE  (8)",3,2002,"Yes","Ray (R.C.) Gilbert","REP","8"
"112","NC SENATE  (8)",3,2002,"Yes","Edward Gore","LIB","8"
"113","NC SENATE  (8)",3,2002,"Yes","R. C. Soles, Jr.","DEM","8"
"114","NC SENATE  (9)",3,2002,"Yes","Laura Padgett","DEM","9"
"115","NC SENATE  (9)",3,2002,"Yes","Patrick J. Ballantine","REP","9"
"116","NC SENATE  (9)",3,2002,"Yes","Shaun Mitchell","LIB","9"
