County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes
ALAMANCE,11/04/2014,063,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,288,195,20,0,503
ALAMANCE,11/04/2014,13,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,520,235,16,1,772
ALAMANCE,11/04/2014,06N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,199,146,11,0,356
ALAMANCE,11/04/2014,06S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,450,362,36,0,848
ALAMANCE,11/04/2014,06W,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,159,75,9,0,243
ALAMANCE,11/04/2014,10N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,634,500,16,1,1151
ALAMANCE,11/04/2014,08N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,570,224,20,2,816
ALAMANCE,11/04/2014,08S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,391,97,16,0,504
ALAMANCE,11/04/2014,126,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,420,328,42,0,790
ALAMANCE,11/04/2014,124,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,356,242,13,0,611
ALAMANCE,11/04/2014,129,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,331,249,35,1,616
ALAMANCE,11/04/2014,PROVISIONAL,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,0,0,0,0,0
ALAMANCE,11/04/2014,12N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,223,142,12,0,377
ALAMANCE,11/04/2014,06E,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,299,253,13,1,566
ALAMANCE,11/04/2014,12E,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,144,105,9,0,258
ALAMANCE,11/04/2014,03W,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,563,290,16,0,869
