"","X","year","contest","candidate_count","contested","choice","party","district"
"41",13,2006,"NC STATE SENATE DISTRICT 32",1,"No","Linda Garrou","DEM",32
"42",14,2006,"NC STATE SENATE DISTRICT 33",1,"No","Stan Bingham","REP",33
"43",15,2006,"NC STATE SENATE DISTRICT 35",1,"No","W. Edward (Eddie) Goodall, Jr.","REP",35
"44",16,2006,"NC STATE SENATE DISTRICT 37",1,"No","Daniel G. Clodfelter","DEM",37
"45",17,2006,"NC STATE SENATE DISTRICT 38",1,"No","Charlie Dannelly","DEM",38
"46",18,2006,"NC STATE SENATE DISTRICT 39",1,"No","Robert Pittenger","REP",39
"47",19,2006,"NC STATE SENATE DISTRICT 41",1,"No","James (Jim) Forrester","REP",41
"48",20,2006,"NC STATE SENATE DISTRICT 43",1,"No","David W. Hoyle","DEM",43
"49",21,2006,"NC STATE SENATE DISTRICT 44",1,"No","Jim Jacumin","REP",44
"50",22,2006,"NC STATE SENATE DISTRICT 48",1,"No","Tom Apodaca","REP",48
"51",1,2008,"NC STATE SENATE DISTRICT 1",1,"No","Marc Basnight","DEM",1
"52",2,2008,"NC STATE SENATE DISTRICT 10",1,"No","Charles W. (Charlie) Albertson","DEM",10
"53",3,2008,"NC STATE SENATE DISTRICT 11",1,"No","A.B. Swindell","DEM",11
"54",4,2008,"NC STATE SENATE DISTRICT 13",1,"No","David F. Weinstein","DEM",13
"55",5,2008,"NC STATE SENATE DISTRICT 19",1,"No","Tony Rand","DEM",19
"56",6,2008,"NC STATE SENATE DISTRICT 21",1,"No","Larry Shaw","DEM",21
"57",7,2008,"NC STATE SENATE DISTRICT 26",1,"No","Philip E. (Phil) Berger","REP",26
"58",8,2008,"NC STATE SENATE DISTRICT 28",1,"No","Katie G. Dorsett","DEM",28
"59",9,2008,"NC STATE SENATE DISTRICT 3",1,"No","Clark Jenkins","DEM",3
"60",10,2008,"NC STATE SENATE DISTRICT 30",1,"No","Don W. East","REP",30
"61",11,2008,"NC STATE SENATE DISTRICT 31",1,"No","Peter Samuel (Pete) Brunstetter","REP",31
"62",12,2008,"NC STATE SENATE DISTRICT 32",1,"No","Linda Garrou","DEM",32
"63",13,2008,"NC STATE SENATE DISTRICT 33",1,"No","Stan Bingham","REP",33
"64",14,2008,"NC STATE SENATE DISTRICT 35",1,"No","W. Edward (Eddie) Goodall, Jr.","REP",35
"65",15,2008,"NC STATE SENATE DISTRICT 39",1,"No","Robert (Bob) Rucho","REP",39
"66",16,2008,"NC STATE SENATE DISTRICT 4",1,"No","Edward (Ed) Jones","DEM",4
"67",17,2008,"NC STATE SENATE DISTRICT 41",1,"No","James (Jim) Forrester","REP",41
"68",18,2008,"NC STATE SENATE DISTRICT 42",1,"No","Austin Allran","REP",42
"69",19,2008,"NC STATE SENATE DISTRICT 48",1,"No","Tom Apodaca","REP",48
"70",20,2008,"NC STATE SENATE DISTRICT 6",1,"No","Harry Brown","REP",6
"71",1,2010,"NC STATE SENATE DISTRICT 13",1,"No","Michael Walters","DEM",13
"72",2,2010,"NC STATE SENATE DISTRICT 22",1,"No","Harris D. Blake","REP",22
"73",3,2010,"NC STATE SENATE DISTRICT 26",1,"No","Philip E. (Phil) Berger","REP",26
"74",4,2010,"NC STATE SENATE DISTRICT 29",1,"No","Jerry W. Tillman","REP",29
"75",5,2010,"NC STATE SENATE DISTRICT 31",1,"No","Peter Samuel (Pete) Brunstetter","REP",31
"76",6,2010,"NC STATE SENATE DISTRICT 33",1,"No","Stan Bingham","REP",33
"77",7,2010,"NC STATE SENATE DISTRICT 34",1,"No","Andrew C. Brock","REP",34
"78",8,2010,"NC STATE SENATE DISTRICT 39",1,"No","Robert (Bob) Rucho","REP",39
"79",9,2010,"NC STATE SENATE DISTRICT 41",1,"No","James (Jim) Forrester","REP",41
"80",10,2010,"NC STATE SENATE DISTRICT 42",1,"No","Austin Allran","REP",42
"81",11,2010,"NC STATE SENATE DISTRICT 46",1,"No","Debbie Ann Clary","REP",46
"82",12,2010,"NC STATE SENATE DISTRICT 6",1,"No","Harry Brown","REP",6
"83",1,2012,"NC STATE SENATE DISTRICT 10",1,"No","Brent Jackson","REP",10
"84",2,2012,"NC STATE SENATE DISTRICT 14",1,"No","Dan Blue","DEM",14
"85",3,2012,"NC STATE SENATE DISTRICT 16",1,"No","Josh Stein","DEM",16
"86",4,2012,"NC STATE SENATE DISTRICT 20",1,"No","Floyd B. McKissick, Jr.","DEM",20
"87",5,2012,"NC STATE SENATE DISTRICT 21",1,"No","Robert B. Clark III","DEM",21
"88",6,2012,"NC STATE SENATE DISTRICT 28",1,"No","Gladys A. Robinson","DEM",28
"89",7,2012,"NC STATE SENATE DISTRICT 29",1,"No","Jerry W. Tillman","REP",29
"90",8,2012,"NC STATE SENATE DISTRICT 3",1,"No","Clark Jenkins","DEM",3
"91",9,2012,"NC STATE SENATE DISTRICT 33",1,"No","Stan Bingham","REP",33
"92",10,2012,"NC STATE SENATE DISTRICT 34",1,"No","Andrew C. Brock","REP",34
"93",11,2012,"NC STATE SENATE DISTRICT 35",1,"No","Tommy Tucker","REP",35
"94",12,2012,"NC STATE SENATE DISTRICT 36",1,"No","Fletcher L. Hartsell, Jr.","REP",36
"95",13,2012,"NC STATE SENATE DISTRICT 41",1,"No","Jeff Tarte","REP",41
"96",14,2012,"NC STATE SENATE DISTRICT 43",1,"No","Kathy Harrington","REP",43
"97",15,2012,"NC STATE SENATE DISTRICT 48",1,"No","Tom Apodaca","REP",48
"98",16,2012,"NC STATE SENATE DISTRICT 5",1,"No","Don Davis","DEM",5
"99",17,2012,"NC STATE SENATE DISTRICT 6",1,"No","Harry Brown","REP",6
"100",18,2012,"NC STATE SENATE DISTRICT 7",1,"No","Louis M. Pate, Jr.","REP",7
